Gender,Provinsi,Kab/Kota,Bidang,Jenjang Lomba,Jenjang Sekolah,Kelas,Medali,Tahun,Cluster
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2019,0
L,DKI Jakarta,Kota Jakarta Timur,Kimia,SMA,SMA,10.0,Partisipan,2019,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Jambi,Kab. Muaro Jambi,Astronomi,SMA,SMA,11.0,Partisipan,2012,0
L,DKI Jakarta,Kota Jakarta Timur,Fisika,SMA,SMA,10.0,Partisipan,2018,2
L,DKI Jakarta,Kota Jakarta Timur,Kimia,SMA,SMA,11.0,Partisipan,2018,2
P,Sumatera Barat,Kota Payakumbuh,Kebumian,SMA,SMA,11.0,Partisipan,2014,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,DKI Jakarta,Kota Jakarta Timur,Kimia,SMA,SMA,11.0,Partisipan,2017,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,DKI Jakarta,Kota Jakarta Timur,Informatika,SMA,SMA,11.0,Partisipan,2017,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,DKI Jakarta,Kota Jakarta Timur,Astronomi,SMA,SMA,11.0,Partisipan,2017,2
L,DKI Jakarta,Kota Jakarta Timur,Ekonomi,SMA,SMA,11.0,Partisipan,2017,2
L,Gorontalo,Kab. Bone Bolango,Informatika,SMA,SMA,11.0,Partisipan,2024,1
P,Gorontalo,Kab. Bone Bolango,Astronomi,SMA,SMA,10.0,Partisipan,2024,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2024,0
L,Gorontalo,Kab. Bone Bolango,Geografi,SMA,SMA,10.0,Partisipan,2024,1
L,Gorontalo,Kab. Bone Bolango,Fisika,SMA,SMA,11.0,Partisipan,2024,1
L,Gorontalo,Kab. Bone Bolango,Informatika,SMA,SMA,11.0,Partisipan,2019,1
L,Gorontalo,Kab. Bone Bolango,Matematika,SMA,SMA,11.0,Partisipan,2014,1
P,Gorontalo,Kab. Bone Bolango,Kimia,SMA,SMA,11.0,Partisipan,2017,1
P,Gorontalo,Kota Gorontalo,IPS,SMP,SMP,11.0,Partisipan,2017,2
